16,91,77,90,76,79,103,90
25,108,97,121,103,107,138,122
35,135,120,150,129,135,172,153
50,164,146,184,159,165,210,188
70,211,187,237,206,215,271,244
95,257,227,289,253,264,332,300
120,300,263,337,296,308,387,351
150,346,304,389,343,358,448,408
185,397,347,447,395,413,515,470
240,470,409,530,471,492,611,561
300,543,471,613,547,571,708,652
400,654,566,740,663,694,856,792
500,756,652,856,770,806,991,921
630,879,755,996,899,942,1154,1077
800,1026,879,1164,1056,1106,1351,1266
1000,1186,1012,1347,1226,1285,1565,1472
