0.5,13,12,13,10,10,15,12
0.75,17,15,17,13,14,19,16
1,21,18,21,16,17,23,19
1.5,26,23,27,21,22,30,25
2.5,36,32,37,29,30,41,35
4,49,42,50,40,42,56,48
6,63,54,65,53,55,73,63
10,86,75,90,74,77,101,88
16,115,100,121,101,105,137,120
25,149,127,161,135,141,182,161
35,185,158,200,169,176,226,201
50,225,192,242,207,216,275,246
70,289,246,310,268,279,353,318
95,352,298,377,328,342,430,389
120,410,346,437,383,400,500,454
150,473,399,504,444,464,577,527
185,542,456,575,510,533,661,605
240,641,538,679,607,634,781,719
300,741,621,783,703,736,902,833
400,892,745,940,823,868,1085,1008
500,1030,859,1083,946,998,1253,1169
630,1196,995,1254,1088,1151,1454,1362
800,1396,1159,1460,1252,1328,1696,1595
1000,1613,1336,1683,1420,1511,1958,1849
