0.5,11,9,11,8,9,12,10
0.75,14,12,14,11,11,16,13
1,17,14,17,13,14,19,16
1.5,22,18.5,22,17,18,24,21
2.5,30,25,31,24,25,34,29
4,40,34,41,33,34,45,39
6,51,43,53,43,45,59,51
10,70,60,73,60,63,81,71
16,94,80,99,82,85,110,97
25,119,101,131,110,114,146,130
35,148,126,162,137,143,181,162
50,180,153,196,167,174,219,197
70,232,196,251,216,225,281,254
95,282,238,304,264,275,341,311
120,328,276,352,308,321,396,362
150,379,319,406,356,372,456,419
185,434,364,463,409,427,521,480
240,514,430,546,485,507,615,569
300,593,497,629,561,587,709,659
400,715,597,754,656,689,852,795
500,826,689,868,749,789,982,920
630,958,798,1005,855,905,1138,1070
800,1118,930,1169,971,1119,1325,1251
1000,1292,1073,1346,1079,1296,1528,1448
